"""""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",27,17,10
"""31 to 60 days""",2,1,1
"""61 to 90 days""",6,2,4
"""91 to 180 days""",5,1,4
"""181 to 365 days""",12,2,10
"""366 to 730 Days (1-2 Yrs)""",8,0,8
"""731 to 1,095 Days (2-3 Yrs)""",2,0,2
"""1,096 to 1,460 Days (3-4 Yrs)""",5,0,5
"""1,461 to 1,825 Days (5-5 Yrs)""",0,0,0
"""More than 1,825 Days (>5 Yrs)""",0,0,0
"""Data Not Collected""",0,0,0
"""Total""",67,23,44
