"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",45,0.16
"""Income and Sources (4.2) at Start""",182,0.21
"""Income and Sources (4.2) at Annual Assessment""",151,0.74
"""Income and Sources (4.2) at Exit""",92,0.38
