"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",125,153
"""1-3 days""",22,19
"""4-6 days""",15,2
"""7-10 days""",5,5
"""11+ days""",86,105
