, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1020,644,353,13,10
"""Hispanic/Latin(a)(o)(x)""",85,34,49,2,0
"""Client Doesn't Know/Client Refused""",2,1,1,0,0
"""Data Not Collected""",5,1,1,0,3
"""Total""",1112,680,404,15,13
