count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,114,30,55,exit,2017-09-01,2017-09-30,Q13b2,without_children,29
None,114,30,55,exit,2017-09-01,2017-09-30,Q13b2,with_only_children,0
None,114,30,55,exit,2017-09-01,2017-09-30,Q13b2,unknown_household_type,0
1 Condition,30,6,3,exit,2017-09-01,2017-09-30,Q13b2,without_children,21
1 Condition,30,6,3,exit,2017-09-01,2017-09-30,Q13b2,with_only_children,0
1 Condition,30,6,3,exit,2017-09-01,2017-09-30,Q13b2,unknown_household_type,0
2 Conditions,10,1,0,exit,2017-09-01,2017-09-30,Q13b2,without_children,9
2 Conditions,10,1,0,exit,2017-09-01,2017-09-30,Q13b2,with_only_children,0
2 Conditions,10,1,0,exit,2017-09-01,2017-09-30,Q13b2,unknown_household_type,0
3+ Conditions,11,1,0,exit,2017-09-01,2017-09-30,Q13b2,without_children,9
3+ Conditions,11,1,0,exit,2017-09-01,2017-09-30,Q13b2,with_only_children,1
3+ Conditions,11,1,0,exit,2017-09-01,2017-09-30,Q13b2,unknown_household_type,0
Condition Unknown,2,1,0,exit,2017-09-01,2017-09-30,Q13b2,without_children,1
Condition Unknown,2,1,0,exit,2017-09-01,2017-09-30,Q13b2,with_only_children,0
Condition Unknown,2,1,0,exit,2017-09-01,2017-09-30,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,1,0,0,exit,2017-09-01,2017-09-30,Q13b2,without_children,1
Client Doesn't Know/Client Refused,1,0,0,exit,2017-09-01,2017-09-30,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,1,0,0,exit,2017-09-01,2017-09-30,Q13b2,unknown_household_type,0
Data Not Collected,11,0,2,exit,2017-09-01,2017-09-30,Q13b2,without_children,9
Data Not Collected,11,0,2,exit,2017-09-01,2017-09-30,Q13b2,with_only_children,0
Data Not Collected,11,0,2,exit,2017-09-01,2017-09-30,Q13b2,unknown_household_type,0
