"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",54,0.18
"""Income and Sources (4.2) at Start""",201,0.23
"""Income and Sources (4.2) at Annual Assessment""",102,0.63
"""Income and Sources (4.2) at Exit""",114,0.43
