, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""White""",777,473,294,6,4
"""Black, African American, or African""",297,157,129,8,3
"""Asian or Asian American""",10,2,5,0,3
"""American Indian, Alaska Native, or Indigenous""",4,4,0,0,0
"""Native Hawaiian or Pacific Islander""",1,0,1,0,0
"""Multiple Races""",85,21,62,2,0
"""Client Doesn't Know/Client Refused""",8,7,1,0,0
"""Data Not Collected""",17,2,12,0,3
"""Total""",1199,666,504,16,13
