, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1087,629,434,14,10
"""Hispanic/Latin(a)(o)(x)""",103,34,67,2,0
"""Client Doesn't Know/Client Refused""",2,1,1,0,0
"""Data Not Collected""",7,2,2,0,3
"""Total""",1199,666,504,16,13
