"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",36,0.14
"""Income and Sources (4.2) at Start""",100,0.15
"""Income and Sources (4.2) at Annual Assessment""",67,0.58
"""Income and Sources (4.2) at Exit""",45,0.21
