, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",782,474,295,13,0
"""Hispanic/Latin(a)(o)(x)""",90,39,51,0,0
"""Client Doesn't Know/Client Refused""",1,0,1,0,0
"""Data Not Collected""",1,0,0,0,1
"""Total""",874,513,347,13,1
