"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",145,116
"""1-3 days""",10,16
"""4-6 days""",2,1
"""7-10 days""",5,13
"""11+ days""",46,62
