"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",37,0.18
"""Income and Sources (4.2) at Start""",170,0.18
"""Income and Sources (4.2) at Annual Assessment""",262,0.82
"""Income and Sources (4.2) at Exit""",60,0.34
