, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1098,721,351,15,11
"""Hispanic/Latin(a)(o)(x)""",96,39,55,2,0
"""Client Doesn't Know/Client Refused""",1,0,1,0,0
"""Data Not Collected""",7,2,2,0,3
"""Total""",1202,762,409,17,14
