"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",13,0.05
"""Income and Sources (4.2) at Start""",287,0.25
"""Income and Sources (4.2) at Annual Assessment""",344,0.8
"""Income and Sources (4.2) at Exit""",106,0.5
