, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1313,875,405,20,13
"""Hispanic/Latin(a)(o)(x)""",148,49,92,6,1
"""Client Doesn't Know/Client Refused""",3,2,1,0,0
"""Data Not Collected""",8,3,2,0,3
"""Total""",1472,929,500,26,17
