, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""White""",1007,664,318,17,8
"""Black, African American, or African""",324,208,108,6,2
"""Asian or Asian American""",11,3,5,0,3
"""American Indian, Alaska Native, or Indigenous""",5,5,0,0,0
"""Native Hawaiian or Pacific Islander""",7,3,3,0,1
"""Multiple Races""",100,39,58,3,0
"""Client Doesn't Know/Client Refused""",3,3,0,0,0
"""Data Not Collected""",15,4,8,0,3
"""Total""",1472,929,500,26,17
