"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",267,203
"""1-3 days""",18,8
"""4-6 days""",14,5
"""7-10 days""",16,12
"""11+ days""",53,47
