"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",32,16
"""1-3 days""",17,4
"""4-6 days""",11,6
"""7-10 days""",1,17
"""11+ days""",50,43
