"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",0,0.0
"""Income and Sources (4.2) at Start""",51,0.14
"""Income and Sources (4.2) at Annual Assessment""",59,0.58
"""Income and Sources (4.2) at Exit""",8,0.17
