, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1058,696,332,19,11
"""Hispanic/Latin(a)(o)(x)""",89,39,48,2,0
"""Client Doesn't Know/Client Refused""",1,0,1,0,0
"""Data Not Collected""",9,4,2,0,3
"""Total""",1157,739,383,21,14
