"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",38,0.18
"""Income and Sources (4.2) at Start""",171,0.19
"""Income and Sources (4.2) at Annual Assessment""",281,0.82
"""Income and Sources (4.2) at Exit""",64,0.34
