"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",106,98
"""1-3 days""",8,11
"""4-6 days""",17,10
"""7-10 days""",9,2
"""11+ days""",26,90
