, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""January""",0,0,0,0,0
"""April""",588,504,81,0,3
"""July""",0,0,0,0,0
"""October""",0,0,0,0,0
