, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",451,246,194,10,1
"""Hispanic/Latin(a)(o)(x)""",49,26,22,1,0
"""Client Doesn't Know/Client Refused""",0,0,0,0,0
"""Data Not Collected""",3,1,0,0,2
"""Total""",503,273,216,11,3
