"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",17,0.25
"""Income and Sources (4.2) at Start""",51,0.14
"""Income and Sources (4.2) at Annual Assessment""",95,0.71
"""Income and Sources (4.2) at Exit""",9,0.18
