"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",50,30
"""1-3 days""",16,0
"""4-6 days""",0,4
"""7-10 days""",11,2
"""11+ days""",50,31
