data_element,number_of_records,number_of_inactive_records,percent_of_inactive_records,population,start_date,end_date,question
Contact (Adults and Heads of Household in Street Outreach or ES - NBN),366,358,0.98,data_quality,2022-07-01,2022-07-31,Q6f
Bed Night (All clients in ES - NBN),250,231,0.92,data_quality,2022-07-01,2022-07-31,Q6f
