data_element,client_doesn_t_know_refused,information_missing,data_issues,total,percent_of_error_rate,population,start_date,end_date,question
Name (3.1),3,0,18,21,0.01,data_quality,2022-07-01,2022-07-31,Q6a
Social Security Number (3.2),142,119,99,360,0.19,data_quality,2022-07-01,2022-07-31,Q6a
Date of Birth (3.3),5,18,1,24,0.01,data_quality,2022-07-01,2022-07-31,Q6a
Race (3.4),7,29,0,36,0.02,data_quality,2022-07-01,2022-07-31,Q6a
Ethinicity (3.5),12,23,0,35,0.02,data_quality,2022-07-01,2022-07-31,Q6a
Gender (3.6),0,9,0,9,0.0,data_quality,2022-07-01,2022-07-31,Q6a
Overall Score,0,0,0,396,0.21,data_quality,2022-07-01,2022-07-31,Q6a
