count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,893,207,260,start,2022-07-01,2022-07-31,Q13a2,without_children,391
None,893,207,260,start,2022-07-01,2022-07-31,Q13a2,with_only_children,25
None,893,207,260,start,2022-07-01,2022-07-31,Q13a2,unknown_household_type,10
1 Condition,387,35,16,start,2022-07-01,2022-07-31,Q13a2,without_children,334
1 Condition,387,35,16,start,2022-07-01,2022-07-31,Q13a2,with_only_children,0
1 Condition,387,35,16,start,2022-07-01,2022-07-31,Q13a2,unknown_household_type,2
2 Conditions,156,10,1,start,2022-07-01,2022-07-31,Q13a2,without_children,144
2 Conditions,156,10,1,start,2022-07-01,2022-07-31,Q13a2,with_only_children,0
2 Conditions,156,10,1,start,2022-07-01,2022-07-31,Q13a2,unknown_household_type,1
3+ Conditions,122,2,0,start,2022-07-01,2022-07-31,Q13a2,without_children,120
3+ Conditions,122,2,0,start,2022-07-01,2022-07-31,Q13a2,with_only_children,0
3+ Conditions,122,2,0,start,2022-07-01,2022-07-31,Q13a2,unknown_household_type,0
Condition Unknown,114,8,7,start,2022-07-01,2022-07-31,Q13a2,without_children,98
Condition Unknown,114,8,7,start,2022-07-01,2022-07-31,Q13a2,with_only_children,1
Condition Unknown,114,8,7,start,2022-07-01,2022-07-31,Q13a2,unknown_household_type,0
Client Doesn't Know/Client Refused,6,0,0,start,2022-07-01,2022-07-31,Q13a2,without_children,6
Client Doesn't Know/Client Refused,6,0,0,start,2022-07-01,2022-07-31,Q13a2,with_only_children,0
Client Doesn't Know/Client Refused,6,0,0,start,2022-07-01,2022-07-31,Q13a2,unknown_household_type,0
Data Not Collected,249,41,133,start,2022-07-01,2022-07-31,Q13a2,without_children,40
Data Not Collected,249,41,133,start,2022-07-01,2022-07-31,Q13a2,with_only_children,25
Data Not Collected,249,41,133,start,2022-07-01,2022-07-31,Q13a2,unknown_household_type,10
