"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",9,0.05
"""Income and Sources (4.2) at Start""",195,0.21
"""Income and Sources (4.2) at Annual Assessment""",309,0.82
"""Income and Sources (4.2) at Exit""",72,0.5
