"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",177,135
"""1-3 days""",34,7
"""4-6 days""",10,7
"""7-10 days""",24,3
"""11+ days""",45,40
