, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1079,703,352,14,10
"""Hispanic/Latin(a)(o)(x)""",99,42,55,2,0
"""Client Doesn't Know/Client Refused""",1,0,1,0,0
"""Data Not Collected""",10,6,1,0,3
"""Total""",1189,751,409,16,13
