, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""January""",0,0,0,0,0
"""April""",0,0,0,0,0
"""July""",584,504,78,0,2
"""October""",0,0,0,0,0
