count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,176,20,50,exit,2019-05-01,2019-05-31,Q13b2,without_children,103
None,176,20,50,exit,2019-05-01,2019-05-31,Q13b2,with_only_children,0
None,176,20,50,exit,2019-05-01,2019-05-31,Q13b2,unknown_household_type,3
1 Condition,37,6,0,exit,2019-05-01,2019-05-31,Q13b2,without_children,30
1 Condition,37,6,0,exit,2019-05-01,2019-05-31,Q13b2,with_only_children,0
1 Condition,37,6,0,exit,2019-05-01,2019-05-31,Q13b2,unknown_household_type,1
2 Conditions,20,3,1,exit,2019-05-01,2019-05-31,Q13b2,without_children,16
2 Conditions,20,3,1,exit,2019-05-01,2019-05-31,Q13b2,with_only_children,0
2 Conditions,20,3,1,exit,2019-05-01,2019-05-31,Q13b2,unknown_household_type,0
3+ Conditions,5,2,0,exit,2019-05-01,2019-05-31,Q13b2,without_children,3
3+ Conditions,5,2,0,exit,2019-05-01,2019-05-31,Q13b2,with_only_children,0
3+ Conditions,5,2,0,exit,2019-05-01,2019-05-31,Q13b2,unknown_household_type,0
Condition Unknown,60,0,1,exit,2019-05-01,2019-05-31,Q13b2,without_children,59
Condition Unknown,60,0,1,exit,2019-05-01,2019-05-31,Q13b2,with_only_children,0
Condition Unknown,60,0,1,exit,2019-05-01,2019-05-31,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,exit,2019-05-01,2019-05-31,Q13b2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2019-05-01,2019-05-31,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2019-05-01,2019-05-31,Q13b2,unknown_household_type,0
Data Not Collected,1,0,0,exit,2019-05-01,2019-05-31,Q13b2,without_children,1
Data Not Collected,1,0,0,exit,2019-05-01,2019-05-31,Q13b2,with_only_children,0
Data Not Collected,1,0,0,exit,2019-05-01,2019-05-31,Q13b2,unknown_household_type,0
