"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",10,0.06
"""Income and Sources (4.2) at Start""",57,0.13
"""Income and Sources (4.2) at Annual Assessment""",85,0.78
"""Income and Sources (4.2) at Exit""",15,0.16
