, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",607,264,336,6,1
"""Hispanic/Latin(a)(o)(x)""",55,24,31,0,0
"""Client Doesn't Know/Client Refused""",0,0,0,0,0
"""Data Not Collected""",3,1,0,0,2
"""Total""",665,289,367,6,3
