"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",90,57
"""1-3 days""",5,12
"""4-6 days""",5,2
"""7-10 days""",12,3
"""11+ days""",59,82
