"""""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",4,1,3
"""31 to 60 days""",7,0,7
"""61 to 90 days""",5,3,2
"""91 to 180 days""",3,0,3
"""181 to 365 days""",0,0,0
"""366 to 730 Days (1-2 Yrs)""",1,0,1
"""731 to 1,095 Days (2-3 Yrs)""",1,0,1
"""1,096 to 1,460 Days (3-4 Yrs)""",0,0,0
"""1,461 to 1,825 Days (5-5 Yrs)""",2,0,2
"""More than 1,825 Days (>5 Yrs)""",0,0,0
"""Data Not Collected""",0,0,0
"""Total""",23,4,19
