"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",67,0.3
"""Income and Sources (4.2) at Start""",93,0.17
"""Income and Sources (4.2) at Annual Assessment""",60,0.56
"""Income and Sources (4.2) at Exit""",41,0.24
