, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""White""",521,299,217,5,0
"""Black, African American, or African""",185,82,99,4,0
"""Asian or Asian American""",1,1,0,0,0
"""American Indian, Alaska Native, or Indigenous""",1,1,0,0,0
"""Native Hawaiian or Pacific Islander""",1,1,0,0,0
"""Multiple Races""",51,14,37,0,0
"""Client Doesn't Know/Client Refused""",1,1,0,0,0
"""Data Not Collected""",1,0,0,0,1
"""Total""",762,399,353,9,1
