, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",699,371,319,9,0
"""Hispanic/Latin(a)(o)(x)""",61,28,33,0,0
"""Client Doesn't Know/Client Refused""",1,0,1,0,0
"""Data Not Collected""",1,0,0,0,1
"""Total""",762,399,353,9,1
