"""""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",14,9,5
"""31 to 60 days""",6,0,6
"""61 to 90 days""",5,3,2
"""91 to 180 days""",7,0,7
"""181 to 365 days""",10,0,10
"""366 to 730 Days (1-2 Yrs)""",10,0,10
"""731 to 1,095 Days (2-3 Yrs)""",7,0,7
"""1,096 to 1,460 Days (3-4 Yrs)""",2,0,2
"""1,461 to 1,825 Days (5-5 Yrs)""",2,0,2
"""More than 1,825 Days (>5 Yrs)""",3,0,3
"""Data Not Collected""",0,0,0
"""Total""",66,12,54
