"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",48,0.28
"""Income and Sources (4.2) at Start""",159,0.18
"""Income and Sources (4.2) at Annual Assessment""",292,0.82
"""Income and Sources (4.2) at Exit""",44,0.31
