, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1012,669,312,20,11
"""Hispanic/Latin(a)(o)(x)""",97,37,58,2,0
"""Client Doesn't Know/Client Refused""",2,1,1,0,0
"""Data Not Collected""",10,5,2,0,3
"""Total""",1121,712,373,22,14
