"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",116,84
"""1-3 days""",7,6
"""4-6 days""",2,0
"""7-10 days""",2,8
"""11+ days""",41,75
