age_group,total_parenting_youth,total_children_of_parenting_youth,total_persons,total_households,population,start_date,end_date,question
Parent youth < 18,0,0,0,0,parenting_youth,2019-04-01,2019-04-30,Q27b
Parent youth 18 to 24,4,3,7,3,parenting_youth,2019-04-01,2019-04-30,Q27b
