"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",2,0.02
"""Income and Sources (4.2) at Start""",44,0.11
"""Income and Sources (4.2) at Annual Assessment""",77,0.68
"""Income and Sources (4.2) at Exit""",7,0.08
