age_group,total_parenting_youth,total_children_of_parenting_youth,total_persons,total_households,population,start_date,end_date,question
Parent youth < 18,1,3,4,1,parenting_youth,2016-06-01,2016-06-30,Q27b
Parent youth 18 to 24,8,9,17,7,parenting_youth,2016-06-01,2016-06-30,Q27b
