data_element,error_count,percent_of_error_rate,population,start_date,end_date,question
Destination (3.12),2,0.02,data_quality,2016-06-01,2016-06-30,Q6c
Income and Sources (4.2) at Start,45,0.12,data_quality,2016-06-01,2016-06-30,Q6c
Income and Sources (4.2) at Annual Assessment,77,0.71,data_quality,2016-06-01,2016-06-30,Q6c
Income and Sources (4.2) at Exit,8,0.11,data_quality,2016-06-01,2016-06-30,Q6c
