, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",514,255,254,4,1
"""Hispanic/Latin(a)(o)(x)""",61,24,36,1,0
"""Client Doesn't Know/Client Refused""",0,0,0,0,0
"""Data Not Collected""",2,0,0,0,2
"""Total""",577,279,290,5,3
