"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",92,36
"""1-3 days""",14,4
"""4-6 days""",6,3
"""7-10 days""",8,2
"""11+ days""",65,53
