, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""January""",0,0,0,0,0
"""April""",0,0,0,0,0
"""July""",442,232,202,5,3
"""October""",0,0,0,0,0
