"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",4,0.04
"""Income and Sources (4.2) at Start""",54,0.13
"""Income and Sources (4.2) at Annual Assessment""",81,0.74
"""Income and Sources (4.2) at Exit""",5,0.09
