data_element,error_count,percent_of_error_rate,population,start_date,end_date,question
Destination (3.12),45,0.13,data_quality,2019-02-01,2019-02-28,Q6c
Income and Sources (4.2) at Start,156,0.21,data_quality,2019-02-01,2019-02-28,Q6c
Income and Sources (4.2) at Annual Assessment,71,0.57,data_quality,2019-02-01,2019-02-28,Q6c
Income and Sources (4.2) at Exit,98,0.34,data_quality,2019-02-01,2019-02-28,Q6c
