count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,297,82,101,start,2016-03-01,2016-03-31,Q13a2,without_children,110
None,297,82,101,start,2016-03-01,2016-03-31,Q13a2,with_only_children,4
None,297,82,101,start,2016-03-01,2016-03-31,Q13a2,unknown_household_type,0
1 Condition,145,14,11,start,2016-03-01,2016-03-31,Q13a2,without_children,120
1 Condition,145,14,11,start,2016-03-01,2016-03-31,Q13a2,with_only_children,0
1 Condition,145,14,11,start,2016-03-01,2016-03-31,Q13a2,unknown_household_type,0
2 Conditions,75,6,3,start,2016-03-01,2016-03-31,Q13a2,without_children,66
2 Conditions,75,6,3,start,2016-03-01,2016-03-31,Q13a2,with_only_children,0
2 Conditions,75,6,3,start,2016-03-01,2016-03-31,Q13a2,unknown_household_type,0
3+ Conditions,42,3,1,start,2016-03-01,2016-03-31,Q13a2,without_children,38
3+ Conditions,42,3,1,start,2016-03-01,2016-03-31,Q13a2,with_only_children,0
3+ Conditions,42,3,1,start,2016-03-01,2016-03-31,Q13a2,unknown_household_type,0
Condition Unknown,8,1,1,start,2016-03-01,2016-03-31,Q13a2,without_children,6
Condition Unknown,8,1,1,start,2016-03-01,2016-03-31,Q13a2,with_only_children,0
Condition Unknown,8,1,1,start,2016-03-01,2016-03-31,Q13a2,unknown_household_type,0
Client Doesn't Know/Client Refused,1,0,0,start,2016-03-01,2016-03-31,Q13a2,without_children,1
Client Doesn't Know/Client Refused,1,0,0,start,2016-03-01,2016-03-31,Q13a2,with_only_children,0
Client Doesn't Know/Client Refused,1,0,0,start,2016-03-01,2016-03-31,Q13a2,unknown_household_type,0
Data Not Collected,6,0,2,start,2016-03-01,2016-03-31,Q13a2,without_children,2
Data Not Collected,6,0,2,start,2016-03-01,2016-03-31,Q13a2,with_only_children,0
Data Not Collected,6,0,2,start,2016-03-01,2016-03-31,Q13a2,unknown_household_type,2
