"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",247,233
"""1-3 days""",53,32
"""4-6 days""",14,7
"""7-10 days""",4,1
"""11+ days""",61,64
