"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",14,0.04
"""Income and Sources (4.2) at Start""",219,0.26
"""Income and Sources (4.2) at Annual Assessment""",96,0.62
"""Income and Sources (4.2) at Exit""",147,0.51
