, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1071,602,445,13,11
"""Hispanic/Latin(a)(o)(x)""",95,33,60,2,0
"""Client Doesn't Know/Client Refused""",1,0,1,0,0
"""Data Not Collected""",6,0,2,0,4
"""Total""",1173,635,508,15,15
