, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""White""",646,423,212,7,4
"""Black, African American, or African""",216,119,90,7,0
"""Asian or Asian American""",6,3,0,0,3
"""American Indian, Alaska Native, or Indigenous""",4,4,0,0,0
"""Native Hawaiian or Pacific Islander""",1,1,0,0,0
"""Multiple Races""",62,19,43,0,0
"""Client Doesn't Know/Client Refused""",2,2,0,0,0
"""Data Not Collected""",1,0,0,0,1
"""Total""",938,571,345,14,8
