data_element,number_of_records,number_of_inactive_records,percent_of_inactive_records,population,start_date,end_date,question
Contact (Adults and Heads of Household in Street Outreach or ES - NBN),99,73,0.74,data_quality,2021-03-01,2021-03-31,Q6f
Bed Night (All clients in ES - NBN),27,7,0.26,data_quality,2021-03-01,2021-03-31,Q6f
