count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,93,7,23,exit,2021-03-01,2021-03-31,Q13b2,without_children,63
None,93,7,23,exit,2021-03-01,2021-03-31,Q13b2,with_only_children,0
None,93,7,23,exit,2021-03-01,2021-03-31,Q13b2,unknown_household_type,0
1 Condition,37,2,3,exit,2021-03-01,2021-03-31,Q13b2,without_children,32
1 Condition,37,2,3,exit,2021-03-01,2021-03-31,Q13b2,with_only_children,0
1 Condition,37,2,3,exit,2021-03-01,2021-03-31,Q13b2,unknown_household_type,0
2 Conditions,24,1,0,exit,2021-03-01,2021-03-31,Q13b2,without_children,23
2 Conditions,24,1,0,exit,2021-03-01,2021-03-31,Q13b2,with_only_children,0
2 Conditions,24,1,0,exit,2021-03-01,2021-03-31,Q13b2,unknown_household_type,0
3+ Conditions,17,0,0,exit,2021-03-01,2021-03-31,Q13b2,without_children,17
3+ Conditions,17,0,0,exit,2021-03-01,2021-03-31,Q13b2,with_only_children,0
3+ Conditions,17,0,0,exit,2021-03-01,2021-03-31,Q13b2,unknown_household_type,0
Condition Unknown,36,2,0,exit,2021-03-01,2021-03-31,Q13b2,without_children,34
Condition Unknown,36,2,0,exit,2021-03-01,2021-03-31,Q13b2,with_only_children,0
Condition Unknown,36,2,0,exit,2021-03-01,2021-03-31,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,1,0,0,exit,2021-03-01,2021-03-31,Q13b2,without_children,1
Client Doesn't Know/Client Refused,1,0,0,exit,2021-03-01,2021-03-31,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,1,0,0,exit,2021-03-01,2021-03-31,Q13b2,unknown_household_type,0
Data Not Collected,0,0,0,exit,2021-03-01,2021-03-31,Q13b2,without_children,0
Data Not Collected,0,0,0,exit,2021-03-01,2021-03-31,Q13b2,with_only_children,0
Data Not Collected,0,0,0,exit,2021-03-01,2021-03-31,Q13b2,unknown_household_type,0
