"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",60,32
"""1-3 days""",10,6
"""4-6 days""",2,6
"""7-10 days""",4,5
"""11+ days""",61,50
