"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",140,24,116
"""31 to 60 days""",102,23,79
"""61 to 90 days""",74,14,60
"""91 to 180 days""",93,22,71
"""181 to 365 days""",48,10,38
"""366 to 730 Days (1-2 Yrs)""",44,5,39
"""731 to 1,095 Days (2-3 Yrs)""",22,1,21
"""1,096 to 1,460 Days (3-4 Yrs)""",6,0,6
"""1,461 to 1,825 Days (5-5 Yrs)""",14,0,14
"""More than 1,825 Days (>5 Yrs)""",64,0,64
"""Data Not Collected""",0,0,0
"""Total""",607,99,508
