"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",10,0.1
"""Income and Sources (4.2) at Start""",51,0.12
"""Income and Sources (4.2) at Annual Assessment""",93,0.7
"""Income and Sources (4.2) at Exit""",11,0.19
